date,iso_code,continent,location,population,median_age, GDP_Per_Capita
2020,AFG,Asia,Afghanistan,39835428,18.6,1803.987
2021,AFG,Asia,Afghanistan,39835428,18.6,1803.987
2022,AFG,Asia,Afghanistan,39835428,18.6,1803.987
2020,ALB,Europe,Albania,2872934,38,11803.431
2021,ALB,Europe,Albania,2872934,38,11803.431
2022,ALB,Europe,Albania,2872934,38,11803.431
2020,DZA,Africa,Algeria,44616626,29.1,13913.839
2021,DZA,Africa,Algeria,44616626,29.1,13913.839
2022,DZA,Africa,Algeria,44616626,29.1,13913.839
2020,AGO,Africa,Angola,33933611,16.8,5819.495
2021,AGO,Africa,Angola,33933611,16.8,5819.495
2022,AGO,Africa,Angola,33933611,16.8,5819.495
2020,ATG,North America,Antigua and Barbuda,98728,32.1,21490.943
2021,ATG,North America,Antigua and Barbuda,98728,32.1,21490.943
2022,ATG,North America,Antigua and Barbuda,98728,32.1,21490.943
2020,ARG,South America,Argentina,45605823,31.9,18933.907
2021,ARG,South America,Argentina,45605823,31.9,18933.907
2022,ARG,South America,Argentina,45605823,31.9,18933.907
2020,ARM,Asia,Armenia,2968128,35.7,8787.58
2021,ARM,Asia,Armenia,2968128,35.7,8787.58
2022,ARM,Asia,Armenia,2968128,35.7,8787.58
2020,ABW,North America,Aruba,107195,41.2,35973.781
2021,ABW,North America,Aruba,107195,41.2,35973.781
2022,ABW,North America,Aruba,107195,41.2,35973.781
2020,AUS,Oceania,Australia,25788217,37.9,44648.71
2021,AUS,Oceania,Australia,25788217,37.9,44648.71
2022,AUS,Oceania,Australia,25788217,37.9,44648.71
2020,AUT,Europe,Austria,9043072,44.4,45436.686
2021,AUT,Europe,Austria,9043072,44.4,45436.686
2022,AUT,Europe,Austria,9043072,44.4,45436.686
2020,AZE,Asia,Azerbaijan,10223344,32.4,15847.419
2021,AZE,Asia,Azerbaijan,10223344,32.4,15847.419
2022,AZE,Asia,Azerbaijan,10223344,32.4,15847.419
2020,BHS,North America,Bahamas,396914,34.3,27717.847
2021,BHS,North America,Bahamas,396914,34.3,27717.847
2022,BHS,North America,Bahamas,396914,34.3,27717.847
2020,BHR,Asia,Bahrain,1748295,32.4,43290.705
2021,BHR,Asia,Bahrain,1748295,32.4,43290.705
2022,BHR,Asia,Bahrain,1748295,32.4,43290.705
2020,BGD,Asia,Bangladesh,166303494,27.5,3523.984
2021,BGD,Asia,Bangladesh,166303494,27.5,3523.984
2022,BGD,Asia,Bangladesh,166303494,27.5,3523.984
2020,BRB,North America,Barbados,287708,39.8,16978.068
2021,BRB,North America,Barbados,287708,39.8,16978.068
2022,BRB,North America,Barbados,287708,39.8,16978.068
2020,BLR,Europe,Belarus,9442867,40.3,17167.967
2021,BLR,Europe,Belarus,9442867,40.3,17167.967
2022,BLR,Europe,Belarus,9442867,40.3,17167.967
2020,BEL,Europe,Belgium,11632334,41.8,42658.576
2021,BEL,Europe,Belgium,11632334,41.8,42658.576
2022,BEL,Europe,Belgium,11632334,41.8,42658.576
2020,BLZ,North America,Belize,404915,25,7824.362
2021,BLZ,North America,Belize,404915,25,7824.362
2022,BLZ,North America,Belize,404915,25,7824.362
2020,BEN,Africa,Benin,12451031,18.8,2064.236
2021,BEN,Africa,Benin,12451031,18.8,2064.236
2022,BEN,Africa,Benin,12451031,18.8,2064.236
2020,BTN,Asia,Bhutan,779900,28.6,8708.597
2021,BTN,Asia,Bhutan,779900,28.6,8708.597
2022,BTN,Asia,Bhutan,779900,28.6,8708.597
2020,BOL,South America,Bolivia,11832936,25.4,6885.829
2021,BOL,South America,Bolivia,11832936,25.4,6885.829
2022,BOL,South America,Bolivia,11832936,25.4,6885.829
2020,BIH,Europe,Bosnia and Herzegovina,3263459,42.5,11713.895
2021,BIH,Europe,Bosnia and Herzegovina,3263459,42.5,11713.895
2022,BIH,Europe,Bosnia and Herzegovina,3263459,42.5,11713.895
2020,BWA,Africa,Botswana,2397240,25.8,15807.374
2021,BWA,Africa,Botswana,2397240,25.8,15807.374
2022,BWA,Africa,Botswana,2397240,25.8,15807.374
2020,BRA,South America,Brazil,213993441,33.5,14103.452
2021,BRA,South America,Brazil,213993441,33.5,14103.452
2022,BRA,South America,Brazil,213993441,33.5,14103.452
2020,BRN,Asia,Brunei,441532,32.4,71809.251
2021,BRN,Asia,Brunei,441532,32.4,71809.251
2022,BRN,Asia,Brunei,441532,32.4,71809.251
2020,BGR,Europe,Bulgaria,6896655,44.7,18563.307
2021,BGR,Europe,Bulgaria,6896655,44.7,18563.307
2022,BGR,Europe,Bulgaria,6896655,44.7,18563.307
2020,BFA,Africa,Burkina Faso,21497097,17.6,1703.102
2021,BFA,Africa,Burkina Faso,21497097,17.6,1703.102
2022,BFA,Africa,Burkina Faso,21497097,17.6,1703.102
2020,BDI,Africa,Burundi,12255429,17.5,702.225
2021,BDI,Africa,Burundi,12255429,17.5,702.225
2022,BDI,Africa,Burundi,12255429,17.5,702.225
2020,KHM,Asia,Cambodia,16946446,25.6,3645.07
2021,KHM,Asia,Cambodia,16946446,25.6,3645.07
2022,KHM,Asia,Cambodia,16946446,25.6,3645.07
2020,CMR,Africa,Cameroon,27224262,18.8,3364.926
2021,CMR,Africa,Cameroon,27224262,18.8,3364.926
2022,CMR,Africa,Cameroon,27224262,18.8,3364.926
2020,CAN,North America,Canada,38067913,41.4,44017.591
2021,CAN,North America,Canada,38067913,41.4,44017.591
2022,CAN,North America,Canada,38067913,41.4,44017.591
2020,CPV,Africa,Cape Verde,561901,25.7,6222.554
2021,CPV,Africa,Cape Verde,561901,25.7,6222.554
2022,CPV,Africa,Cape Verde,561901,25.7,6222.554
2020,CAF,Africa,Central African Republic,4919987,18.3,661.24
2021,CAF,Africa,Central African Republic,4919987,18.3,661.24
2022,CAF,Africa,Central African Republic,4919987,18.3,661.24
2020,TCD,Africa,Chad,16914985,16.7,1768.153
2021,TCD,Africa,Chad,16914985,16.7,1768.153
2022,TCD,Africa,Chad,16914985,16.7,1768.153
2020,CHL,South America,Chile,19212362,35.4,22767.037
2021,CHL,South America,Chile,19212362,35.4,22767.037
2022,CHL,South America,Chile,19212362,35.4,22767.037
2020,CHN,Asia,China,1444216102,38.7,15308.712
2021,CHN,Asia,China,1444216102,38.7,15308.712
2022,CHN,Asia,China,1444216102,38.7,15308.712
2020,COL,South America,Colombia,51265841,32.2,13254.949
2021,COL,South America,Colombia,51265841,32.2,13254.949
2022,COL,South America,Colombia,51265841,32.2,13254.949
2020,COM,Africa,Comoros,888456,20.4,1413.89
2021,COM,Africa,Comoros,888456,20.4,1413.89
2022,COM,Africa,Comoros,888456,20.4,1413.89
2020,COG,Africa,Congo,5657017,19,4881.406
2021,COG,Africa,Congo,5657017,19,4881.406
2022,COG,Africa,Congo,5657017,19,4881.406
2020,CRI,North America,Costa Rica,5139053,33.6,15524.995
2021,CRI,North America,Costa Rica,5139053,33.6,15524.995
2022,CRI,North America,Costa Rica,5139053,33.6,15524.995
2020,CIV,Africa,Cote d'Ivoire,27053629,18.7,3601.006
2021,CIV,Africa,Cote d'Ivoire,27053629,18.7,3601.006
2022,CIV,Africa,Cote d'Ivoire,27053629,18.7,3601.006
2020,HRV,Europe,Croatia,4081657,44,22669.797
2021,HRV,Europe,Croatia,4081657,44,22669.797
2022,HRV,Europe,Croatia,4081657,44,22669.797
2020,CYP,Europe,Cyprus,896005,37.3,32415.132
2021,CYP,Europe,Cyprus,896005,37.3,32415.132
2022,CYP,Europe,Cyprus,896005,37.3,32415.132
2020,CZE,Europe,Czechia,10724553,43.3,32605.906
2021,CZE,Europe,Czechia,10724553,43.3,32605.906
2022,CZE,Europe,Czechia,10724553,43.3,32605.906
2020,COD,Africa,Democratic Republic of Congo,92377986,17,808.133
2021,COD,Africa,Democratic Republic of Congo,92377986,17,808.133
2022,COD,Africa,Democratic Republic of Congo,92377986,17,808.133
2020,DNK,Europe,Denmark,5813302,42.3,46682.515
2021,DNK,Europe,Denmark,5813302,42.3,46682.515
2022,DNK,Europe,Denmark,5813302,42.3,46682.515
2020,DJI,Africa,Djibouti,1002197,25.4,2705.406
2021,DJI,Africa,Djibouti,1002197,25.4,2705.406
2022,DJI,Africa,Djibouti,1002197,25.4,2705.406
2020,DOM,North America,Dominican Republic,10953714,27.6,14600.861
2021,DOM,North America,Dominican Republic,10953714,27.6,14600.861
2022,DOM,North America,Dominican Republic,10953714,27.6,14600.861
2020,ECU,South America,Ecuador,17888474,28.1,10581.936
2021,ECU,South America,Ecuador,17888474,28.1,10581.936
2022,ECU,South America,Ecuador,17888474,28.1,10581.936
2020,EGY,Africa,Egypt,104258327,25.3,10550.206
2021,EGY,Africa,Egypt,104258327,25.3,10550.206
2022,EGY,Africa,Egypt,104258327,25.3,10550.206
2020,SLV,North America,El Salvador,6518500,27.6,7292.458
2021,SLV,North America,El Salvador,6518500,27.6,7292.458
2022,SLV,North America,El Salvador,6518500,27.6,7292.458
2020,GNQ,Africa,Equatorial Guinea,1449891,22.4,22604.873
2021,GNQ,Africa,Equatorial Guinea,1449891,22.4,22604.873
2022,GNQ,Africa,Equatorial Guinea,1449891,22.4,22604.873
2020,ERI,Africa,Eritrea,3601462,19.3,1510.459
2021,ERI,Africa,Eritrea,3601462,19.3,1510.459
2022,ERI,Africa,Eritrea,3601462,19.3,1510.459
2020,EST,Europe,Estonia,1325188,42.7,29481.252
2021,EST,Europe,Estonia,1325188,42.7,29481.252
2022,EST,Europe,Estonia,1325188,42.7,29481.252
2020,SWZ,Africa,Eswatini,1172369,21.5,7738.975
2021,SWZ,Africa,Eswatini,1172369,21.5,7738.975
2022,SWZ,Africa,Eswatini,1172369,21.5,7738.975
2020,ETH,Africa,Ethiopia,117876226,19.8,1729.927
2021,ETH,Africa,Ethiopia,117876226,19.8,1729.927
2022,ETH,Africa,Ethiopia,117876226,19.8,1729.927
2020,FJI,Oceania,Fiji,902899,28.6,8702.975
2021,FJI,Oceania,Fiji,902899,28.6,8702.975
2022,FJI,Oceania,Fiji,902899,28.6,8702.975
2020,FIN,Europe,Finland,5548361,42.8,40585.721
2021,FIN,Europe,Finland,5548361,42.8,40585.721
2022,FIN,Europe,Finland,5548361,42.8,40585.721
2020,FRA,Europe,France,67422000,42,38605.671
2021,FRA,Europe,France,67422000,42,38605.671
2022,FRA,Europe,France,67422000,42,38605.671
2020,GAB,Africa,Gabon,2278829,23.1,16562.413
2021,GAB,Africa,Gabon,2278829,23.1,16562.413
2022,GAB,Africa,Gabon,2278829,23.1,16562.413
2020,GMB,Africa,Gambia,2486937,17.5,1561.767
2021,GMB,Africa,Gambia,2486937,17.5,1561.767
2022,GMB,Africa,Gambia,2486937,17.5,1561.767
2020,GEO,Asia,Georgia,3979773,38.7,9745.079
2021,GEO,Asia,Georgia,3979773,38.7,9745.079
2022,GEO,Asia,Georgia,3979773,38.7,9745.079
2020,DEU,Europe,Germany,83900471,46.6,45229.245
2021,DEU,Europe,Germany,83900471,46.6,45229.245
2022,DEU,Europe,Germany,83900471,46.6,45229.245
2020,GHA,Africa,Ghana,31732128,21.1,4227.63
2021,GHA,Africa,Ghana,31732128,21.1,4227.63
2022,GHA,Africa,Ghana,31732128,21.1,4227.63
2020,GRC,Europe,Greece,10370747,45.3,24574.382
2021,GRC,Europe,Greece,10370747,45.3,24574.382
2022,GRC,Europe,Greece,10370747,45.3,24574.382
2020,GRD,North America,Grenada,113015,29.4,13593.877
2021,GRD,North America,Grenada,113015,29.4,13593.877
2022,GRD,North America,Grenada,113015,29.4,13593.877
2020,GTM,North America,Guatemala,18249868,22.9,7423.808
2021,GTM,North America,Guatemala,18249868,22.9,7423.808
2022,GTM,North America,Guatemala,18249868,22.9,7423.808
2020,GIN,Africa,Guinea,13497237,19,1998.926
2021,GIN,Africa,Guinea,13497237,19,1998.926
2022,GIN,Africa,Guinea,13497237,19,1998.926
2020,GNB,Africa,Guinea-Bissau,2015490,19.4,1548.675
2021,GNB,Africa,Guinea-Bissau,2015490,19.4,1548.675
2022,GNB,Africa,Guinea-Bissau,2015490,19.4,1548.675
2020,GUY,South America,Guyana,790329,26.3,7435.047
2021,GUY,South America,Guyana,790329,26.3,7435.047
2022,GUY,South America,Guyana,790329,26.3,7435.047
2020,HTI,North America,Haiti,11541683,24.3,1653.173
2021,HTI,North America,Haiti,11541683,24.3,1653.173
2022,HTI,North America,Haiti,11541683,24.3,1653.173
2020,HND,North America,Honduras,10062994,24.9,4541.795
2021,HND,North America,Honduras,10062994,24.9,4541.795
2022,HND,North America,Honduras,10062994,24.9,4541.795
2020,HKG,Asia,Hong Kong,7552800,44.8,56054.92
2021,HKG,Asia,Hong Kong,7552800,44.8,56054.92
2022,HKG,Asia,Hong Kong,7552800,44.8,56054.92
2020,HUN,Europe,Hungary,9634162,43.4,26777.561
2021,HUN,Europe,Hungary,9634162,43.4,26777.561
2022,HUN,Europe,Hungary,9634162,43.4,26777.561
2020,ISL,Europe,Iceland,368792,37.3,46482.958
2021,ISL,Europe,Iceland,368792,37.3,46482.958
2022,ISL,Europe,Iceland,368792,37.3,46482.958
2020,IND,Asia,India,1393409033,28.2,6426.674
2021,IND,Asia,India,1393409033,28.2,6426.674
2022,IND,Asia,India,1393409033,28.2,6426.674
2020,IDN,Asia,Indonesia,276361788,29.3,11188.744
2021,IDN,Asia,Indonesia,276361788,29.3,11188.744
2022,IDN,Asia,Indonesia,276361788,29.3,11188.744
2020,IRN,Asia,Iran,85028760,32.4,19082.62
2021,IRN,Asia,Iran,85028760,32.4,19082.62
2022,IRN,Asia,Iran,85028760,32.4,19082.62
2020,IRQ,Asia,Iraq,41179351,20,15663.986
2021,IRQ,Asia,Iraq,41179351,20,15663.986
2022,IRQ,Asia,Iraq,41179351,20,15663.986
2020,IRL,Europe,Ireland,4982904,38.7,67335.293
2021,IRL,Europe,Ireland,4982904,38.7,67335.293
2022,IRL,Europe,Ireland,4982904,38.7,67335.293
2020,ISR,Asia,Israel,9291000,30.6,33132.32
2021,ISR,Asia,Israel,9291000,30.6,33132.32
2022,ISR,Asia,Israel,9291000,30.6,33132.32
2020,ITA,Europe,Italy,60367471,47.9,35220.084
2021,ITA,Europe,Italy,60367471,47.9,35220.084
2022,ITA,Europe,Italy,60367471,47.9,35220.084
2020,JAM,North America,Jamaica,2973462,31.4,8193.571
2021,JAM,North America,Jamaica,2973462,31.4,8193.571
2022,JAM,North America,Jamaica,2973462,31.4,8193.571
2020,JPN,Asia,Japan,126050796,48.2,39002.223
2021,JPN,Asia,Japan,126050796,48.2,39002.223
2022,JPN,Asia,Japan,126050796,48.2,39002.223
2020,JOR,Asia,Jordan,10269022,23.2,8337.49
2021,JOR,Asia,Jordan,10269022,23.2,8337.49
2022,JOR,Asia,Jordan,10269022,23.2,8337.49
2020,KAZ,Asia,Kazakhstan,18994958,30.6,24055.588
2021,KAZ,Asia,Kazakhstan,18994958,30.6,24055.588
2022,KAZ,Asia,Kazakhstan,18994958,30.6,24055.588
2020,KEN,Africa,Kenya,54985702,20,2993.028
2021,KEN,Africa,Kenya,54985702,20,2993.028
2022,KEN,Africa,Kenya,54985702,20,2993.028
2021,KIR,Oceania,Kiribati,121388,23.2,1981.132
2022,KIR,Oceania,Kiribati,121388,23.2,1981.132
2020,KWT,Asia,Kuwait,4328553,33.7,65530.537
2021,KWT,Asia,Kuwait,4328553,33.7,65530.537
2022,KWT,Asia,Kuwait,4328553,33.7,65530.537
2020,KGZ,Asia,Kyrgyzstan,6628347,26.3,3393.474
2021,KGZ,Asia,Kyrgyzstan,6628347,26.3,3393.474
2022,KGZ,Asia,Kyrgyzstan,6628347,26.3,3393.474
2020,LAO,Asia,Laos,7379358,24.4,6397.36
2021,LAO,Asia,Laos,7379358,24.4,6397.36
2022,LAO,Asia,Laos,7379358,24.4,6397.36
2020,LVA,Europe,Latvia,1866934,43.9,25063.846
2021,LVA,Europe,Latvia,1866934,43.9,25063.846
2022,LVA,Europe,Latvia,1866934,43.9,25063.846
2020,LBN,Asia,Lebanon,6769151,31.1,13367.565
2021,LBN,Asia,Lebanon,6769151,31.1,13367.565
2022,LBN,Asia,Lebanon,6769151,31.1,13367.565
2020,LSO,Africa,Lesotho,2159067,22.2,2851.153
2021,LSO,Africa,Lesotho,2159067,22.2,2851.153
2022,LSO,Africa,Lesotho,2159067,22.2,2851.153
2020,LBR,Africa,Liberia,5180208,19.2,752.788
2021,LBR,Africa,Liberia,5180208,19.2,752.788
2022,LBR,Africa,Liberia,5180208,19.2,752.788
2020,LBY,Africa,Libya,6958538,29,17881.509
2021,LBY,Africa,Libya,6958538,29,17881.509
2022,LBY,Africa,Libya,6958538,29,17881.509
2020,LTU,Europe,Lithuania,2689862,43.5,29524.265
2021,LTU,Europe,Lithuania,2689862,43.5,29524.265
2022,LTU,Europe,Lithuania,2689862,43.5,29524.265
2020,LUX,Europe,Luxembourg,634814,39.7,94277.965
2021,LUX,Europe,Luxembourg,634814,39.7,94277.965
2022,LUX,Europe,Luxembourg,634814,39.7,94277.965
2020,MAC,Asia,Macao,658391,39.2,104861.851
2021,MAC,Asia,Macao,658391,39.2,104861.851
2022,MAC,Asia,Macao,658391,39.2,104861.851
2020,MDG,Africa,Madagascar,28427333,19.6,1416.44
2021,MDG,Africa,Madagascar,28427333,19.6,1416.44
2022,MDG,Africa,Madagascar,28427333,19.6,1416.44
2020,MWI,Africa,Malawi,19647681,18.1,1095.042
2021,MWI,Africa,Malawi,19647681,18.1,1095.042
2022,MWI,Africa,Malawi,19647681,18.1,1095.042
2020,MYS,Asia,Malaysia,32776195,29.9,26808.164
2021,MYS,Asia,Malaysia,32776195,29.9,26808.164
2022,MYS,Asia,Malaysia,32776195,29.9,26808.164
2020,MDV,Asia,Maldives,543620,30.6,15183.616
2021,MDV,Asia,Maldives,543620,30.6,15183.616
2022,MDV,Asia,Maldives,543620,30.6,15183.616
2020,MLI,Africa,Mali,20855724,16.4,2014.306
2021,MLI,Africa,Mali,20855724,16.4,2014.306
2022,MLI,Africa,Mali,20855724,16.4,2014.306
2020,MLT,Europe,Malta,516100,42.4,36513.323
2021,MLT,Europe,Malta,516100,42.4,36513.323
2022,MLT,Europe,Malta,516100,42.4,36513.323
2020,MRT,Africa,Mauritania,4775110,20.3,3597.633
2021,MRT,Africa,Mauritania,4775110,20.3,3597.633
2022,MRT,Africa,Mauritania,4775110,20.3,3597.633
2020,MUS,Africa,Mauritius,1273428,37.4,20292.745
2021,MUS,Africa,Mauritius,1273428,37.4,20292.745
2022,MUS,Africa,Mauritius,1273428,37.4,20292.745
2020,MEX,North America,Mexico,130262220,29.3,17336.469
2021,MEX,North America,Mexico,130262220,29.3,17336.469
2022,MEX,North America,Mexico,130262220,29.3,17336.469
2021,FSM,Oceania,Micronesia (country),116255,23,3299.464
2022,FSM,Oceania,Micronesia (country),116255,23,3299.464
2020,MDA,Europe,Moldova,4024025,37.6,5189.972
2021,MDA,Europe,Moldova,4024025,37.6,5189.972
2022,MDA,Europe,Moldova,4024025,37.6,5189.972
2020,MNG,Asia,Mongolia,3329282,28.6,11840.846
2021,MNG,Asia,Mongolia,3329282,28.6,11840.846
2022,MNG,Asia,Mongolia,3329282,28.6,11840.846
2020,MNE,Europe,Montenegro,628051,39.1,16409.288
2021,MNE,Europe,Montenegro,628051,39.1,16409.288
2022,MNE,Europe,Montenegro,628051,39.1,16409.288
2020,MAR,Africa,Morocco,37344787,29.6,7485.013
2021,MAR,Africa,Morocco,37344787,29.6,7485.013
2022,MAR,Africa,Morocco,37344787,29.6,7485.013
2020,MOZ,Africa,Mozambique,32163045,17.7,1136.103
2021,MOZ,Africa,Mozambique,32163045,17.7,1136.103
2022,MOZ,Africa,Mozambique,32163045,17.7,1136.103
2020,MMR,Asia,Myanmar,54806014,29.1,5591.597
2021,MMR,Asia,Myanmar,54806014,29.1,5591.597
2022,MMR,Asia,Myanmar,54806014,29.1,5591.597
2020,NAM,Africa,Namibia,2587344,22,9541.808
2021,NAM,Africa,Namibia,2587344,22,9541.808
2022,NAM,Africa,Namibia,2587344,22,9541.808
2020,NPL,Asia,Nepal,29674920,25,2442.804
2021,NPL,Asia,Nepal,29674920,25,2442.804
2022,NPL,Asia,Nepal,29674920,25,2442.804
2020,NLD,Europe,Netherlands,17173094,43.2,48472.545
2021,NLD,Europe,Netherlands,17173094,43.2,48472.545
2022,NLD,Europe,Netherlands,17173094,43.2,48472.545
2020,NZL,Oceania,New Zealand,5126300,37.9,36085.843
2021,NZL,Oceania,New Zealand,5126300,37.9,36085.843
2022,NZL,Oceania,New Zealand,5126300,37.9,36085.843
2020,NIC,North America,Nicaragua,6702379,27.3,5321.444
2021,NIC,North America,Nicaragua,6702379,27.3,5321.444
2022,NIC,North America,Nicaragua,6702379,27.3,5321.444
2020,NER,Africa,Niger,25130810,15.1,926
2021,NER,Africa,Niger,25130810,15.1,926
2022,NER,Africa,Niger,25130810,15.1,926
2020,NGA,Africa,Nigeria,211400704,18.1,5338.454
2021,NGA,Africa,Nigeria,211400704,18.1,5338.454
2022,NGA,Africa,Nigeria,211400704,18.1,5338.454
2020,MKD,Europe,North Macedonia,2082661,39.1,13111.214
2021,MKD,Europe,North Macedonia,2082661,39.1,13111.214
2022,MKD,Europe,North Macedonia,2082661,39.1,13111.214
2020,NOR,Europe,Norway,5465629,39.7,64800.057
2021,NOR,Europe,Norway,5465629,39.7,64800.057
2022,NOR,Europe,Norway,5465629,39.7,64800.057
2020,OMN,Asia,Oman,5223376,30.7,37960.709
2021,OMN,Asia,Oman,5223376,30.7,37960.709
2022,OMN,Asia,Oman,5223376,30.7,37960.709
2020,PAK,Asia,Pakistan,225199929,23.5,5034.708
2021,PAK,Asia,Pakistan,225199929,23.5,5034.708
2022,PAK,Asia,Pakistan,225199929,23.5,5034.708
2020,PSE,Asia,Palestine,5222756,20.4,4449.898
2021,PSE,Asia,Palestine,5222756,20.4,4449.898
2022,PSE,Asia,Palestine,5222756,20.4,4449.898
2020,PAN,North America,Panama,4381583,29.7,22267.037
2021,PAN,North America,Panama,4381583,29.7,22267.037
2022,PAN,North America,Panama,4381583,29.7,22267.037
2020,PNG,Oceania,Papua New Guinea,9119005,22.6,3823.194
2021,PNG,Oceania,Papua New Guinea,9119005,22.6,3823.194
2022,PNG,Oceania,Papua New Guinea,9119005,22.6,3823.194
2020,PRY,South America,Paraguay,7219641,26.5,8827.01
2021,PRY,South America,Paraguay,7219641,26.5,8827.01
2022,PRY,South America,Paraguay,7219641,26.5,8827.01
2020,PER,South America,Peru,33359415,29.1,12236.706
2021,PER,South America,Peru,33359415,29.1,12236.706
2022,PER,South America,Peru,33359415,29.1,12236.706
2020,PHL,Asia,Philippines,111046910,25.2,7599.188
2021,PHL,Asia,Philippines,111046910,25.2,7599.188
2022,PHL,Asia,Philippines,111046910,25.2,7599.188
2020,POL,Europe,Poland,37797000,41.8,27216.445
2021,POL,Europe,Poland,37797000,41.8,27216.445
2022,POL,Europe,Poland,37797000,41.8,27216.445
2020,PRT,Europe,Portugal,10167923,46.2,27936.896
2021,PRT,Europe,Portugal,10167923,46.2,27936.896
2022,PRT,Europe,Portugal,10167923,46.2,27936.896
2020,QAT,Asia,Qatar,2930524,31.9,116935.6
2021,QAT,Asia,Qatar,2930524,31.9,116935.6
2022,QAT,Asia,Qatar,2930524,31.9,116935.6
2020,ROU,Europe,Romania,19127772,43,23313.199
2021,ROU,Europe,Romania,19127772,43,23313.199
2022,ROU,Europe,Romania,19127772,43,23313.199
2020,RUS,Europe,Russia,145912022,39.6,24765.954
2021,RUS,Europe,Russia,145912022,39.6,24765.954
2022,RUS,Europe,Russia,145912022,39.6,24765.954
2020,RWA,Africa,Rwanda,13276517,20.3,1854.211
2021,RWA,Africa,Rwanda,13276517,20.3,1854.211
2022,RWA,Africa,Rwanda,13276517,20.3,1854.211
2020,LCA,North America,Saint Lucia,184401,34.9,12951.839
2021,LCA,North America,Saint Lucia,184401,34.9,12951.839
2022,LCA,North America,Saint Lucia,184401,34.9,12951.839
2020,VCT,North America,Saint Vincent and the Grenadines,111269,31.8,10727.146
2021,VCT,North America,Saint Vincent and the Grenadines,111269,31.8,10727.146
2022,VCT,North America,Saint Vincent and the Grenadines,111269,31.8,10727.146
2020,WSM,Oceania,Samoa,200144,22,6021.557
2021,WSM,Oceania,Samoa,200144,22,6021.557
2022,WSM,Oceania,Samoa,200144,22,6021.557
2020,STP,Africa,Sao Tome and Principe,223364,18.7,3052.714
2021,STP,Africa,Sao Tome and Principe,223364,18.7,3052.714
2022,STP,Africa,Sao Tome and Principe,223364,18.7,3052.714
2020,SAU,Asia,Saudi Arabia,35340680,31.9,49045.411
2021,SAU,Asia,Saudi Arabia,35340680,31.9,49045.411
2022,SAU,Asia,Saudi Arabia,35340680,31.9,49045.411
2020,SEN,Africa,Senegal,17196308,18.7,2470.58
2021,SEN,Africa,Senegal,17196308,18.7,2470.58
2022,SEN,Africa,Senegal,17196308,18.7,2470.58
2020,SRB,Europe,Serbia,6871547,41.2,14048.881
2021,SRB,Europe,Serbia,6871547,41.2,14048.881
2022,SRB,Europe,Serbia,6871547,41.2,14048.881
2020,SYC,Africa,Seychelles,98910,36.2,26382.287
2021,SYC,Africa,Seychelles,98910,36.2,26382.287
2022,SYC,Africa,Seychelles,98910,36.2,26382.287
2020,SLE,Africa,Sierra Leone,8141343,19.1,1390.3
2021,SLE,Africa,Sierra Leone,8141343,19.1,1390.3
2022,SLE,Africa,Sierra Leone,8141343,19.1,1390.3
2020,SGP,Asia,Singapore,5453600,42.4,85535.383
2021,SGP,Asia,Singapore,5453600,42.4,85535.383
2022,SGP,Asia,Singapore,5453600,42.4,85535.383
2020,SVK,Europe,Slovakia,5449270,41.2,30155.152
2021,SVK,Europe,Slovakia,5449270,41.2,30155.152
